,num_primo
1509,27611
1510,27631
1511,27647
1512,27691
1513,27739
1514,27743
1515,27751
1516,27763
1517,27767
1518,27779
1519,27791
1520,27799
1521,27803
1522,27823
1523,27827
1524,27847
1525,27851
1526,27883
1527,27919
1528,27943
1529,27947
1530,27967
1531,27983
1532,28019
1533,28027
1534,28031
1535,28051
1536,28087
1537,28099
1538,28111
1539,28123
1540,28151
1541,28163
1542,28183
1543,28211
1544,28219
1545,28279
1546,28283
1547,28307
1548,28319
1549,28351
1550,28387
1551,28403
1552,28411
1553,28439
1554,28447
1555,28463
1556,28499
1557,28547
1558,28559
1559,28571
1560,28579
1561,28591
1562,28603
1563,28607
1564,28619
1565,28627
1566,28631
1567,28643
1568,28663
1569,28687
1570,28703
1571,28711
1572,28723
1573,28751
1574,28759
1575,28771
1576,28807
1577,28843
1578,28859
1579,28867
1580,28871
1581,28879
1582,28927
1583,28979
1584,29023
1585,29027
1586,29059
1587,29063
1588,29123
1589,29131
1590,29147
1591,29167
1592,29179
1593,29191
1594,29207
1595,29231
1596,29243
1597,29251
1598,29287
1599,29303
1600,29311
1601,29327
1602,29339
1603,29347
1604,29363
1605,29383
1606,29387
1607,29399
1608,29411
1609,29423
1610,29443
1611,29483
1612,29527
1613,29531
1614,29567
1615,29587
1616,29599
1617,29611
1618,29663
1619,29671
1620,29683
1621,29723
1622,29759
1623,29803
1624,29819
1625,29851
1626,29863
1627,29867
1628,29879
1629,29927
1630,29947
1631,29959
1632,29983
1633,30011
1634,30047
1635,30059
1636,30071
1637,30091
1638,30103
1639,30119
1640,30139
1641,30187
1642,30203
1643,30211
1644,30223
1645,30259
1646,30271
1647,30307
1648,30319
1649,30323
1650,30347
1651,30367
1652,30391
1653,30403
1654,30427
1655,30431
1656,30467
1657,30491
1658,30539
1659,30559
1660,30631
1661,30643
1662,30671
1663,30703
1664,30707
1665,30727
1666,30763
1667,30803
1668,30839
1669,30851
1670,30859
1671,30871
1672,30911
1673,30931
1674,30971
1675,30983
1676,31019
1677,31039
1678,31051
1679,31063
1680,31079
1681,31091
1682,31123
1683,31139
1684,31147
1685,31151
1686,31159
1687,31183
1688,31219
1689,31223
1690,31231
1691,31247
1692,31259
1693,31267
1694,31271
1695,31307
1696,31319
1697,31327
1698,31379
1699,31387
1700,31391
1701,31511
1702,31531
1703,31543
1704,31547
1705,31567
1706,31583
1707,31607
1708,31627
1709,31643
1710,31663
1711,31667
1712,31687
1713,31699
1714,31723
1715,31727
1716,31751
1717,31771
1718,31799
1719,31847
1720,31859
1721,31883
1722,31891
1723,31907
1724,31963
1725,31991
1726,32003
1727,32027
1728,32051
1729,32059
1730,32063
1731,32083
1732,32099
1733,32119
1734,32143
1735,32159
1736,32183
1737,32191
1738,32203
1739,32251
1740,32299
1741,32303
1742,32323
1743,32327
1744,32359
1745,32363
1746,32371
1747,32411
1748,32423
1749,32443
1750,32467
1751,32479
1752,32491
1753,32503
1754,32507
1755,32531
1756,32563
1757,32579
1758,32587
1759,32603
1760,32611
1761,32647
1762,32687
1763,32707
1764,32719
1765,32771
1766,32779
1767,32783
1768,32803
1769,32831
1770,32839
1771,32843
1772,32887
1773,32911
1774,32939
1775,32971
1776,32983
1777,32987
1778,32999
1779,33023
1780,33071
1781,33083
1782,33091
1783,33107
1784,33119
1785,33151
1786,33179
1787,33191
1788,33199
1789,33203
1790,33211
1791,33223
1792,33247
1793,33287
1794,33311
1795,33331
1796,33343
1797,33347
1798,33359
1799,33391
1800,33403
1801,33427
1802,33479
1803,33487
1804,33503
1805,33547
1806,33563
1807,33587
1808,33599
1809,33619
1810,33623
1811,33647
1812,33679
1813,33703
1814,33739
1815,33751
1816,33767
1817,33791
1818,33811
1819,33827
1820,33851
1821,33863
1822,33871
1823,33911
1824,33923
1825,33931
1826,33967
1827,34019
1828,34031
1829,34039
1830,34123
1831,34127
1832,34147
1833,34159
1834,34171
1835,34183
1836,34211
1837,34231
1838,34259
1839,34267
1840,34283
1841,34303
1842,34319
1843,34327
1844,34351
1845,34367
1846,34403
1847,34439
1848,34471
1849,34483
1850,34487
1851,34499
1852,34511
1853,34519
1854,34543
1855,34583
1856,34591
1857,34603
1858,34607
1859,34631
1860,34651
1861,34667
1862,34679
1863,34687
1864,34703
1865,34739
1866,34747
1867,34759
1868,34763
1869,34807
1870,34819
1871,34843
1872,34847
1873,34871
1874,34883
1875,34919
1876,34939
1877,34963
1878,35023
1879,35027
1880,35051
1881,35059
1882,35083
1883,35099
1884,35107
1885,35111
1886,35159
1887,35171
1888,35227
1889,35251
1890,35267
1891,35279
1892,35291
1893,35311
1894,35323
1895,35327
1896,35339
1897,35363
1898,35407
1899,35419
1900,35423
1901,35447
1902,35491
1903,35507
1904,35527
1905,35531
1906,35543
1907,35591
1908,35603
1909,35671
1910,35731
1911,35747
1912,35759
1913,35771
1914,35803
1915,35831
1916,35839
1917,35851
1918,35863
1919,35879
1920,35899
1921,35911
1922,35923
1923,35951
1924,35963
1925,35983
1926,35999
1927,36007
1928,36011
1929,36067
1930,36083
1931,36107
1932,36131
1933,36151
1934,36187
1935,36191
1936,36251
1937,36263
1938,36299
1939,36307
1940,36319
1941,36343
1942,36383
1943,36451
1944,36467
1945,36479
1946,36523
1947,36527
1948,36551
1949,36559
1950,36563
1951,36571
1952,36583
1953,36587
1954,36599
1955,36607
1956,36643
1957,36671
1958,36683
1959,36691
1960,36739
1961,36767
1962,36779
1963,36787
1964,36791
1965,36847
1966,36871
1967,36887
1968,36899
1969,36919
1970,36923
1971,36931
1972,36943
1973,36947
1974,36979
1975,37003
1976,37019
1977,37039
1978,37087
1979,37123
1980,37139
1981,37159
1982,37171
1983,37199
1984,37223
1985,37243
1986,37307
1987,37339
1988,37363
1989,37379
1990,37423
1991,37447
1992,37463
1993,37483
1994,37507
